FIPS,Geographic Name,Geographic Subtype,Total Vote,Albert Gore Jr.,George W. Bush,Ralph Nader,Patrick Buchanan,Harry Browne,Howard Phillips,John Hagelin,Write-ins,James Harris,L. Neil Smith,David McReynolds,Monica Moorehead,None o.t. Candidates,Cathy Brown,Denny Lane,Randall Venson,Earl Dodge,Louie Youngkeit
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18
1001,Autauga,County,17208,4942,11993,160,43,51,9,5,5,0,0,0,0,0,0,0,0,0,0
1003,Baldwin,County,56480,13997,40872,1033,287,226,23,14,28,0,0,0,0,0,0,0,0,0,0
1005,Barbour,County,10395,5188,5096,46,27,27,6,2,3,0,0,0,0,0,0,0,0,0,0
1007,Bibb,County,7101,2710,4273,52,36,20,9,1,0,0,0,0,0,0,0,0,0,0,0
1009,Blount,County,17973,4977,12667,154,104,51,10,5,5,0,0,0,0,0,0,0,0,0,0
1011,Bullock,County,4904,3395,1433,24,8,34,5,4,1,0,0,0,0,0,0,0,0,0,0
1013,Butler,County,7803,3606,4127,36,9,19,3,0,3,0,0,0,0,0,0,0,0,0,0
1015,Calhoun,County,38909,15781,22306,481,153,149,18,13,8,0,0,0,0,0,0,0,0,0,0
1017,Chambers,County,11834,5616,6037,95,35,38,5,5,3,0,0,0,0,0,0,0,0,0,0
1019,Cherokee,County,7823,3497,4154,77,58,27,3,5,2,0,0,0,0,0,0,0,0,0,0
1021,Chilton,County,15092,4806,10066,92,70,53,1,1,3,0,0,0,0,0,0,0,0,0,0
1023,Choctaw,County,7374,3707,3600,33,17,8,3,2,4,0,0,0,0,0,0,0,0,0,0
1025,Clarke,County,10752,4679,5988,33,28,16,4,2,2,0,0,0,0,0,0,0,0,0,0
1027,Clay,County,5883,2045,3719,52,30,32,4,1,0,0,0,0,0,0,0,0,0,0,0
1029,Cleburne,County,5092,1664,3333,39,32,21,0,0,3,0,0,0,0,0,0,0,0,0,0
1031,Coffee,County,15434,5220,9938,155,61,40,17,1,2,0,0,0,0,0,0,0,0,0,0
1033,Colbert,County,21532,10543,10518,208,201,38,9,4,11,0,0,0,0,0,0,0,0,0,0
1035,Conecuh,County,5551,2783,2699,35,21,6,2,3,2,0,0,0,0,0,0,0,0,0,0
1037,Coosa,County,4567,2104,2382,34,13,23,6,4,1,0,0,0,0,0,0,0,0,0,0
1039,Covington,County,13613,4440,8961,123,42,32,9,3,3,0,0,0,0,0,0,0,0,0,0
1041,Crenshaw,County,4795,1934,2793,40,16,9,2,0,1,0,0,0,0,0,0,0,0,0,0
1043,Cullman,County,29525,9758,19157,282,216,59,31,5,17,0,0,0,0,0,0,0,0,0,0
1045,Dale,County,15806,4906,10593,188,56,27,26,4,6,0,0,0,0,0,0,0,0,0,0
1047,Dallas,County,18464,10967,7360,63,19,38,10,4,3,0,0,0,0,0,0,0,0,0,0
1049,DeKalb,County,20285,7056,12827,175,88,124,9,2,4,0,0,0,0,0,0,0,0,0,0
1051,Elmore,County,23804,6652,16777,212,53,87,4,8,11,0,0,0,0,0,0,0,0,0,0
1053,Escambia,County,11660,4523,6975,78,57,13,7,3,4,0,0,0,0,0,0,0,0,0,0
1055,Etowah,County,39348,17433,21087,435,239,117,17,6,14,0,0,0,0,0,0,0,0,0,0
1057,Fayette,County,7808,3064,4582,60,68,21,8,0,5,0,0,0,0,0,0,0,0,0,0
1059,Franklin,County,11103,4793,6119,72,85,17,5,5,7,0,0,0,0,0,0,0,0,0,0
1061,Geneva,County,9559,2769,6588,97,46,38,16,2,3,0,0,0,0,0,0,0,0,0,0
1063,Greene,County,4396,3504,850,24,3,8,4,2,1,0,0,0,0,0,0,0,0,0,0
1065,Hale,County,7731,4652,2984,43,25,17,4,5,1,0,0,0,0,0,0,0,0,0,0
1067,Henry,County,6932,2782,4054,48,18,18,4,4,4,0,0,0,0,0,0,0,0,0,0
1069,Houston,County,32057,9412,22150,257,121,88,9,7,13,0,0,0,0,0,0,0,0,0,0
1071,Jackson,County,17906,9066,8475,184,118,48,5,6,4,0,0,0,0,0,0,0,0,0,0
1073,Jefferson,County,273763,129889,138491,3393,670,987,92,81,160,0,0,0,0,0,0,0,0,0,0
1075,Lamar,County,7249,2653,4470,57,50,6,6,1,6,0,0,0,0,0,0,0,0,0,0
1077,Lauderdale,County,32137,13875,17478,354,296,78,23,10,23,0,0,0,0,0,0,0,0,0,0
1079,Lawrence,County,12185,6296,5671,63,111,22,11,4,7,0,0,0,0,0,0,0,0,0,0
1081,Lee,County,38264,14574,22433,895,68,233,17,11,33,0,0,0,0,0,0,0,0,0,0
1083,Limestone,County,23634,8992,14204,193,137,78,13,6,11,0,0,0,0,0,0,0,0,0,0
1085,Lowndes,County,6243,4557,1638,18,11,11,3,4,1,0,0,0,0,0,0,0,0,0,0
1087,Macon,County,8831,7665,1091,31,10,20,6,6,2,0,0,0,0,0,0,0,0,0,0
1089,Madison,County,113318,48199,62151,1885,322,567,65,47,82,0,0,0,0,0,0,0,0,0,0
1091,Marengo,County,9608,4841,4690,40,19,12,4,2,0,0,0,0,0,0,0,0,0,0,0
1093,Marion,County,11756,4600,6910,125,77,25,7,7,5,0,0,0,0,0,0,0,0,0,0
1095,Marshall,County,27989,10381,17084,256,157,82,10,9,10,0,0,0,0,0,0,0,0,0,0
1097,Mobile,County,139745,58640,78162,1585,532,727,30,26,43,0,0,0,0,0,0,0,0,0,0
1099,Monroe,County,8951,3741,5153,25,19,11,0,0,2,0,0,0,0,0,0,0,0,0,0
1101,Montgomery,County,80328,40371,38827,677,113,293,10,17,20,0,0,0,0,0,0,0,0,0,0
1103,Morgan,County,42681,16060,25774,450,214,118,31,6,28,0,0,0,0,0,0,0,0,0,0
1105,Perry,County,5787,4020,1732,18,7,7,1,2,0,0,0,0,0,0,0,0,0,0,0
1107,Pickens,County,8540,4143,4306,39,23,20,4,1,4,0,0,0,0,0,0,0,0,0,0
1109,Pike,County,10544,4357,6058,75,17,27,4,3,3,0,0,0,0,0,0,0,0,0,0
1111,Randolph,County,7919,3094,4666,60,48,39,8,4,0,0,0,0,0,0,0,0,0,0,0
1113,Russell,County,14775,8396,6198,109,31,30,3,4,4,0,0,0,0,0,0,0,0,0,0
1115,St. Clair,County,24090,6485,17117,221,144,87,21,5,10,0,0,0,0,0,0,0,0,0,0
1117,Shelby,County,62128,13183,47651,812,123,281,39,13,26,0,0,0,0,0,0,0,0,0,0
