FIPS,Geographic Name,Geographic Subtype,Total Vote,John Kerry,George W. Bush,Ralph Nader,Michael Badnarik,Michael Peroutka,David Cobb,Róger Calero,Walt Brown,Bill Van Auken,Write-ins,Thomas Harens,John Parker,None of these Candidates,Stanford Andress,Charles Jay,Leonard Peltier,Gene Amondson,Earl Dodge
fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18
1001,Autauga,County,20081,4758,15196,74,24,21,0,0,0,0,8,0,0,0,0,0,0,0,0
1003,Baldwin,County,69320,15599,52971,371,269,72,0,0,0,0,38,0,0,0,0,0,0,0,0
1005,Barbour,County,10777,4832,5899,26,12,7,0,0,0,0,1,0,0,0,0,0,0,0,0
1007,Bibb,County,7600,2089,5472,12,10,12,0,0,0,0,5,0,0,0,0,0,0,0,0
1009,Blount,County,21504,3938,17386,92,47,31,0,0,0,0,10,0,0,0,0,0,0,0,0
1011,Bullock,County,4717,3210,1494,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,Butler,County,8416,3413,4979,13,7,3,0,0,0,0,1,0,0,0,0,0,0,0,0
1015,Calhoun,County,45249,15083,29814,182,96,53,0,0,0,0,21,0,0,0,0,0,0,0,0
1017,Chambers,County,13032,5347,7622,42,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1019,Cherokee,County,9049,3040,5923,43,22,15,0,0,0,0,6,0,0,0,0,0,0,0,0
1021,Chilton,County,16693,3778,12829,46,22,15,0,0,0,0,3,0,0,0,0,0,0,0,0
1023,Choctaw,County,7227,3303,3897,15,5,5,0,0,0,0,2,0,0,0,0,0,0,0,0
1025,Clarke,County,11394,4627,6730,19,8,9,0,0,0,0,1,0,0,0,0,0,0,0,0
1027,Clay,County,6576,1893,4624,38,9,10,0,0,0,0,2,0,0,0,0,0,0,0,0
1029,Cleburne,County,5798,1391,4370,24,7,2,0,0,0,0,4,0,0,0,0,0,0,0,0
1031,Coffee,County,17616,4480,13019,73,22,16,0,0,0,0,6,0,0,0,0,0,0,0,0
1033,Colbert,County,23935,10598,13188,88,34,18,0,0,0,0,9,0,0,0,0,0,0,0,0
1035,Conecuh,County,6021,2719,3271,17,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0
1037,Coosa,County,5001,2055,2905,8,13,16,0,0,0,0,4,0,0,0,0,0,0,0,0
1039,Covington,County,14627,3423,11119,37,12,33,0,0,0,0,3,0,0,0,0,0,0,0,0
1041,Crenshaw,County,5500,1698,3777,17,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1043,Cullman,County,35191,8045,26818,155,64,75,0,0,0,0,34,0,0,0,0,0,0,0,0
1045,Dale,County,18231,4484,13621,75,24,20,0,0,0,0,7,0,0,0,0,0,0,0,0
1047,Dallas,County,18573,11175,7335,28,13,19,0,0,0,0,3,0,0,0,0,0,0,0,0
1049,DeKalb,County,24169,7092,16904,99,34,27,0,0,0,0,13,0,0,0,0,0,0,0,0
1051,Elmore,County,28680,6471,22056,68,48,30,0,0,0,0,7,0,0,0,0,0,0,0,0
1053,Escambia,County,12395,3814,8513,28,13,20,0,0,0,0,7,0,0,0,0,0,0,0,0
1055,Etowah,County,42680,15328,26999,196,99,43,0,0,0,0,15,0,0,0,0,0,0,0,0
1057,Fayette,County,8002,2408,5534,30,16,7,0,0,0,0,7,0,0,0,0,0,0,0,0
1059,Franklin,County,12269,4514,7690,48,9,4,0,0,0,0,4,0,0,0,0,0,0,0,0
1061,Geneva,County,10520,2113,8342,27,22,12,0,0,0,0,4,0,0,0,0,0,0,0,0
1063,Greene,County,4748,3764,958,12,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1065,Hale,County,7945,4631,3281,15,11,4,0,0,0,0,3,0,0,0,0,0,0,0,0
1067,Henry,County,7361,2452,4881,15,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0
1069,Houston,County,36201,9144,26874,91,37,38,0,0,0,0,17,0,0,0,0,0,0,0,0
1071,Jackson,County,20321,8635,11534,92,28,17,0,0,0,0,15,0,0,0,0,0,0,0,0
1073,Jefferson,County,292967,132286,158680,999,567,241,0,0,0,0,194,0,0,0,0,0,0,0,0
1075,Lamar,County,6885,1956,4894,26,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1077,Lauderdale,County,37107,14628,22161,155,80,57,0,0,0,0,26,0,0,0,0,0,0,0,0
1079,Lawrence,County,14001,6155,7730,44,29,34,0,0,0,0,9,0,0,0,0,0,0,0,0
1081,Lee,County,44610,16227,27972,204,170,37,0,0,0,0,0,0,0,0,0,0,0,0,0
1083,Limestone,County,29073,9126,19702,120,54,56,0,0,0,0,15,0,0,0,0,0,0,0,0
1085,Lowndes,County,6021,4233,1786,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1087,Macon,County,9407,7800,1570,16,12,8,0,0,0,0,1,0,0,0,0,0,0,0,0
1089,Madison,County,131062,52644,77173,548,438,159,0,0,0,0,100,0,0,0,0,0,0,0,0
1091,Marengo,County,10322,5037,5255,16,10,3,0,0,0,0,1,0,0,0,0,0,0,0,0
1093,Marion,County,12875,3808,8983,61,9,10,0,0,0,0,4,0,0,0,0,0,0,0,0
1095,Marshall,County,31491,8452,22783,155,60,30,0,0,0,0,11,0,0,0,0,0,0,0,0
1097,Mobile,County,156771,63732,92014,598,211,167,0,0,0,0,49,0,0,0,0,0,0,0,0
1099,Monroe,County,9534,3666,5831,23,5,6,0,0,0,0,3,0,0,0,0,0,0,0,0
1101,Montgomery,County,89650,45160,44097,198,124,46,0,0,0,0,25,0,0,0,0,0,0,0,0
1103,Morgan,County,47007,14131,32477,187,114,69,0,0,0,0,29,0,0,0,0,0,0,0,0
1105,Perry,County,5523,3767,1738,7,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0
1107,Pickens,County,9132,3915,5170,24,14,6,0,0,0,0,3,0,0,0,0,0,0,0,0
1109,Pike,County,11883,4334,7483,44,16,3,0,0,0,0,3,0,0,0,0,0,0,0,0
1111,Randolph,County,9001,2817,6127,35,15,3,0,0,0,0,4,0,0,0,0,0,0,0,0
1113,Russell,County,16809,8375,8337,51,26,7,0,0,0,0,13,0,0,0,0,0,0,0,0
1115,St. Clair,County,29161,5456,23500,96,50,45,0,0,0,0,14,0,0,0,0,0,0,0,0
1117,Shelby,County,78906,14850,63435,284,190,109,0,0,0,0,38,0,0,0,0,0,0,0,0
1119,Sumter,County,6433,4527,1880,10,6,8,0,0,0,0,2,0,0,0,0,0,0,0,0
1121,Talladega,County,29898,11374,18331,89,50,45,0,0,0,0,9,0,0,0,0,0,0,0,0
1123,Tallapoosa,County,17952,5451,12392,53,31,17,0,0,0,0,8,0,0,0,0,0,0,0,0
1125,Tuscaloosa,County,69830,26447,42877,263,110,83,0,0,0,0,50,0,0,0,0,0,0,0,0
1127,Walker,County,28367,9016,19167,108,27,33,0,0,0,0,16,0,0,0,0,0,0,0,0
1129,Washington,County,8247,3145,5060,29,3,6,0,0,0,0,4,0,0,0,0,0,0,0,0
1131,Wilcox,County,5682,3838,1834,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1133,Winston,County,10423,2236,8130,34,11,8,0,0,0,0,4,0,0,0,0,0,0,0,0
4001,Apache,County,24198,15658,8384,14,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4003,Cochise,County,44483,17514,26556,83,318,0,12,0,0,0,0,0,0,0,0,0,0,0,0
4005,Coconino,County,52267,29243,22526,113,377,0,8,0,0,0,0,0,0,0,0,0,0,0,0
4007,Gila,County,20843,8314,12343,31,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4009,Graham,County,10720,3185,7467,2,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4011,Greenlee,County,3067,1146,1899,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4012,La Paz,County,5055,1849,3158,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
