fips,name,type,totalvote,vote1,vote2,vote3,vote4,vote5,vote6,vote7,vote8,vote9,vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote17,vote18,vote19,vote20,vote21,vote22,vote23,vote24,vote25,vote26,vote27,vote28,vote29,vote30,vote31,vote32,vote33,vote34,vote35,vote36,vote37,vote38
1,Alabama,State,2297295,837376,1427820,0,24886,0,0,0,0,0,7213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Alaska,State,346524,148190,184993,798,8595,0,1070,299,0,0,0,0,0,0,0,0,0,2579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Arizona,State,3395329,1672054,1661677,0,51465,1011,0,0,0,138,8826,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0
5,Arkansas,State,1211285,419578,757438,2133,13081,2936,2075,1315,4083,1324,0,0,1361,1705,2785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1471
6,California,State,16827982,10744672,5721411,30,178429,77454,0,56448,0,47989,800,0,0,502,0,0,0,109,0,0,33,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Colorado,State,3256061,1803921,1364202,572,52427,8981,5059,636,8080,1035,0,354,0,2514,568,355,0,0,762,379,196,2729,0,2007,0,0,495,0,0,0,614,0,0,175,0,0,0,0,0
9,Connecticut,State,1823379,1080492,714613,0,20220,7533,0,12,241,0,21,0,0,214,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0
10,Delaware,State,504010,296268,200603,0,5000,2139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,District of Columbia,State,333682,307265,18172,679,1977,1667,0,0,0,839,3083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Florida,State,11067456,5297045,5668731,0,70324,14721,3902,5966,0,5712,201,0,0,854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Georgia,State,4991938,2472002,2457880,0,62056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Hawaii,State,573854,365802,196602,1181,5525,3814,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Idaho,State,868615,287021,554118,2808,16404,255,1884,1491,3632,36,847,0,0,104,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0,0
17,Illinois,State,5833354,3366935,2348194,0,64085,29369,0,0,0,7768,7794,0,0,9209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Indiana,State,3026214,1240634,1724900,0,59117,614,0,0,0,0,349,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Iowa,State,1690037,758597,897356,544,19609,3071,1703,1079,3204,0,4329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,0,0,0,0,0,0,0,0,0,0,0
20,Kansas,State,1333513,551144,752903,0,29466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Kentucky,State,2134996,772285,1326418,3598,26217,0,0,0,6478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Louisiana,State,2148062,856034,1255776,749,21645,0,860,0,4897,987,0,536,0,2497,0,0,0,0,0,0,0,662,1125,0,0,668,0,0,0,0,0,0,0,0,1626,0,0,0,0
23,Maine,State,812765,429860,359118,611,14171,8234,1184,1382,3343,0,1614,0,0,1061,1181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Maryland,State,2921521,1894321,955735,7,32190,14998,0,7,224,13,18250,0,0,148,0,0,5579,0,0,0,0,0,1,14,0,8,0,0,0,0,0,0,0,0,26,0,0,0,0
